,loss,accuracy,val_loss,val_accuracy,lr
0,2.83882212638855,0.4019760191440582,0.6479332447052002,0.17487120628356934,0.0010000000474974513
1,1.1212215423583984,0.471136212348938,0.6148410439491272,0.47681739926338196,0.0010000000474974513
2,1.0205851793289185,0.5247706174850464,0.4410010278224945,0.58271324634552,0.00010000000474974513
3,0.9654338359832764,0.5733239054679871,0.44389164447784424,0.5832856297492981,1.0000000656873453e-05
4,0.9616991281509399,0.5745236277580261,0.4431248903274536,0.5835718512535095,1.0000001111620804e-06
5,0.9574053287506104,0.5751587748527527,0.4466305077075958,0.5818545818328857,1.000000082740371e-07
6,0.9623292684555054,0.5755822062492371,0.4447942078113556,0.5824270248413086,1.000000082740371e-08
7,0.9551042914390564,0.5751587748527527,0.4462554156780243,0.5824270248413086,1.000000082740371e-09
8,0.9644274711608887,0.5770642161369324,0.44579795002937317,0.5812821984291077,1.000000082740371e-10
9,0.9616904854774475,0.5776287913322449,0.4433099627494812,0.5838580131530762,1.000000082740371e-11
10,0.9663355946540833,0.5737473368644714,0.44502976536750793,0.5829994082450867,1.0000001044244144e-12
11,0.95671546459198,0.5829922556877136,0.44404295086860657,0.5835718512535095,1.0000001179769416e-13
12,0.9633114337921143,0.5780522227287292,0.4448115825653076,0.5838580131530762,1.0000001518582595e-14
13,0.960088312625885,0.5724064707756042,0.4476504325866699,0.5809959769248962,1.0000001095066121e-15
14,0.9623435735702515,0.5774170756340027,0.44531312584877014,0.5835718512535095,1.0000000830368325e-16
